"Crear hora","Casa de apuestas","ID Padre","ID de usuario",Usuario,Tipo,"ID de transacción","Nombre de usuario del emisor",Moneda,Ingresos,Estado,Total,Comisión,Saldo,"Saldo actual",Billeteras,"Tipo de transacción","grupo causal",causal,"producto causal",Descripción,Nota,"Dirección IP"
"2026-08-28 06:14:26",geniusbet.sv,787533464,788658581,50376564133,"Player Online",115815956840,50376564133shop,USD,0.00,-2.5,-2.5,,111.57,109.07,SportBooks,Withdraw,"Actividad de apuestas/juegos","Apuesta realizada (3)",Deporte,"Cupón: GSV-J145K6J14-788658581",,168.243.180.186
"2026-08-28 02:30:09",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813362977,Sistema,USD,0.00,-0.2,-0.2,,22.83,22.63,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:30:20",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813364075,Sistema,USD,0.00,-0.2,-0.2,,21.83,21.63,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:38:04",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813419359,Sistema,USD,0.9,0.00,0.9,,20.81,21.71,SportBooks,Deposit,"Actividad de apuestas/juegos","Netgame Win (515)",Casino,"Netgame Win",,
"2026-08-28 02:38:02",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813419158,Sistema,USD,0.00,-0.2,-0.2,,21.01,20.81,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:38:09",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813420067,Sistema,USD,0.00,-0.2,-0.2,,21.71,21.51,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:38:18",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813421405,Sistema,USD,0.00,-0.2,-0.2,,21.31,21.11,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:38:23",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813422008,Sistema,USD,0.00,-0.2,-0.2,,21.11,20.91,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:38:24",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813422152,Sistema,USD,0.00,-1.8,-1.8,,5.32,3.52,SportBooks,Withdraw,"Actividad de apuestas/juegos","Aviatrix Bet (2333)",Casino,"Aviatrix Bet",,
"2026-08-28 02:38:28",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813422632,Sistema,USD,0.00,-0.2,-0.2,,20.91,20.71,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:38:29",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813422890,Sistema,USD,0.00,-0.2,-0.2,,20.71,20.51,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:38:34",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813423427,Sistema,USD,0.00,-0.2,-0.2,,20.51,20.31,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:38:34",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813423460,Sistema,USD,2.93,0.00,2.93,,3.52,6.45,SportBooks,Deposit,"Actividad de apuestas/juegos","Aviatrix Win (2334)",Casino,"Aviatrix Win",,
"2026-08-28 02:38:37",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813423937,Sistema,USD,0.00,-0.2,-0.2,,20.11,19.91,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:38:36",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813423724,Sistema,USD,0.00,-0.2,-0.2,,20.31,20.11,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:41:14",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813444985,Sistema,USD,0.00,-0.2,-0.2,,14.34,14.14,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:41:28",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813446821,Sistema,USD,0.00,-0.2,-0.2,,13.34,13.14,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:41:24",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813446215,Sistema,USD,0.00,-0.2,-0.2,,13.54,13.34,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:41:34",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813447499,Sistema,USD,0.00,-2,-2,,6.31,4.31,SportBooks,Withdraw,"Actividad de apuestas/juegos","Smartsoft Bet (775)",Casino,"JetX Apuesta",,
"2026-08-28 02:41:34",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813447532,Sistema,USD,2,0.00,2,,4.31,6.31,SportBooks,Deposit,"Actividad de apuestas/juegos","Smartsoft Rollback (777)",Casino,"JetX Reembolso",,
"2026-08-28 02:41:49",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813449467,Sistema,USD,0.00,-0.2,-0.2,,12.22,12.02,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:42:10",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813452230,Sistema,USD,0.00,-0.2,-0.2,,11.02,10.82,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:42:12",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813452422,Sistema,USD,0.00,-0.5,-0.5,,6.62,6.12,SportBooks,Withdraw,"Actividad de apuestas/juegos","Smartsoft Bet (775)",Casino,"JetX Apuesta",,
"2026-08-28 02:43:13",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813460876,Sistema,USD,0.00,-0.2,-0.2,,8.52,8.32,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:43:19",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813461791,Sistema,USD,0.00,-0.2,-0.2,,8.32,8.12,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:43:26",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813462787,Sistema,USD,0.00,-0.2,-0.2,,7.72,7.52,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:43:33",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813463636,Sistema,USD,0.00,-0.2,-0.2,,7.32,7.12,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:40",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813472690,Sistema,USD,0.00,-0.2,-0.2,,4.2,4,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:36",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813472249,Sistema,USD,0.00,-0.2,-0.2,,4.4,4.2,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:35",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813472081,Sistema,USD,0.00,-0.2,-0.2,,4.6,4.4,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:47",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813473710,Sistema,USD,0.00,-0.2,-0.2,,3.8,3.6,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:49",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813473950,Sistema,USD,0.00,-0.2,-0.2,,3.6,3.4,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:53",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813474580,Sistema,USD,0.00,-0.2,-0.2,,3.2,3,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:51",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813474253,Sistema,USD,0.00,-0.2,-0.2,,3.4,3.2,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:45:18",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813477973,Sistema,USD,0.00,-0.2,-0.2,,1.7,1.5,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:46:54",geniusbet.sv,787533464,788398766,50363093963,"Player Online",115813490792,Sistema,USD,0.00,-0.2,-0.2,,0.47,0.27,SportBooks,Withdraw,"Actividad de apuestas/juegos","3Oaks Bet (1049)",Casino,"Joker Glitz x1000 Apuesta",,
"2026-08-28 02:46:56",geniusbet.sv,787533464,788398766,50363093963,"Player Online",115813491065,Sistema,USD,0.00,-0.2,-0.2,,0.27,0.07,SportBooks,Withdraw,"Actividad de apuestas/juegos","3Oaks Bet (1049)",Casino,"Joker Glitz x1000 Apuesta",,
"2026-08-28 02:46:57",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813491206,Sistema,USD,0.00,-1.8,-1.8,,5.11,3.31,SportBooks,Withdraw,"Actividad de apuestas/juegos","Aviatrix Bet (2333)",Casino,"Aviatrix Bet",,
"2026-08-28 02:49:47",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813512941,Sistema,USD,0.00,-0.5,-0.5,,3.31,2.81,SportBooks,Withdraw,"Actividad de apuestas/juegos","Aviatrix Bet (2333)",Casino,"Aviatrix Bet",,
"2026-08-28 02:52:22",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813532798,Sistema,USD,0.00,-1.8,-1.8,,3.59,1.79,SportBooks,Withdraw,"Actividad de apuestas/juegos","Aviatrix Bet (2333)",Casino,"Aviatrix Bet",,
"2026-08-28 02:52:53",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813536848,Sistema,USD,0.00,-0.5,-0.5,,4.29,3.79,SportBooks,Withdraw,"Actividad de apuestas/juegos","Aviatrix Bet (2333)",Casino,"Aviatrix Bet",,
"2026-08-28 02:53:07",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813538693,Sistema,USD,0.00,-0.5,-0.5,,3.79,3.29,SportBooks,Withdraw,"Actividad de apuestas/juegos","Aviatrix Bet (2333)",Casino,"Aviatrix Bet",,
"2026-08-28 02:53:14",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813539566,Sistema,USD,0.76,0.00,0.76,,3.29,4.05,SportBooks,Deposit,"Actividad de apuestas/juegos","Aviatrix Win (2334)",Casino,"Aviatrix Win",,
"2026-08-28 02:53:30",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813541675,Sistema,USD,0.00,-0.5,-0.5,,3.55,3.05,SportBooks,Withdraw,"Actividad de apuestas/juegos","Aviatrix Bet (2333)",Casino,"Aviatrix Bet",,
"2026-08-28 02:53:52",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813544501,Sistema,USD,1.07,0.00,1.07,,2.55,3.62,SportBooks,Deposit,"Actividad de apuestas/juegos","Aviatrix Win (2334)",Casino,"Aviatrix Win",,
"2026-08-28 02:53:58",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813545341,Sistema,USD,0.00,-1.8,-1.8,,3.62,1.82,SportBooks,Withdraw,"Actividad de apuestas/juegos","Aviatrix Bet (2333)",Casino,"Aviatrix Bet",,
"2026-08-28 02:55:51",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813559921,Sistema,USD,0.00,-0.5,-0.5,,4.26,3.76,SportBooks,Withdraw,"Actividad de apuestas/juegos","Aviatrix Bet (2333)",Casino,"Aviatrix Bet",,
"2026-08-28 02:55:56",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813560683,Sistema,USD,0.69,0.00,0.69,,3.76,4.45,SportBooks,Deposit,"Actividad de apuestas/juegos","Aviatrix Win (2334)",Casino,"Aviatrix Win",,
"2026-08-28 02:30:01",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813362107,Sistema,USD,0.00,-0.2,-0.2,,23.43,23.23,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:30:25",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813364639,Sistema,USD,0.00,-0.2,-0.2,,21.43,21.23,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:37:49",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813417211,Sistema,USD,0.00,-0.5,-0.5,,6.82,6.32,SportBooks,Withdraw,"Actividad de apuestas/juegos","Aviatrix Bet (2333)",Casino,"Aviatrix Bet",,
"2026-08-28 02:37:56",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813418264,Sistema,USD,0.00,-0.2,-0.2,,21.21,21.01,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:38:44",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813424915,Sistema,USD,0.00,-0.2,-0.2,,19.59,19.39,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:38:40",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813424234,Sistema,USD,0.00,-0.2,-0.2,,19.99,19.79,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:38:48",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813425368,Sistema,USD,0.00,-0.2,-0.2,,19.39,19.19,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:38:53",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813426112,Sistema,USD,0.14,0.00,0.14,,18.79,18.93,SportBooks,Deposit,"Actividad de apuestas/juegos","Netgame Win (515)",Casino,"Netgame Win",,
"2026-08-28 02:39:12",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813428680,Sistema,USD,0.00,-0.2,-0.2,,18.37,18.17,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:39:11",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813428539,Sistema,USD,0.04,0.00,0.04,,18.33,18.37,SportBooks,Deposit,"Actividad de apuestas/juegos","Netgame Win (515)",Casino,"Netgame Win",,
"2026-08-28 02:39:57",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813435037,Sistema,USD,0.00,-0.2,-0.2,,16.5,16.3,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:40:07",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813436285,Sistema,USD,0.00,-0.2,-0.2,,16.1,15.9,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:40:30",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813439180,Sistema,USD,0.00,-0.2,-0.2,,15.1,14.9,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:40:32",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813439573,Sistema,USD,0.00,-0.2,-0.2,,14.9,14.7,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:40:37",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813440170,Sistema,USD,0.00,-0.2,-0.2,,14.5,14.3,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:40:35",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813439957,Sistema,USD,0.00,-0.2,-0.2,,14.7,14.5,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:40:41",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813440779,Sistema,USD,0.00,-0.2,-0.2,,14.3,14.1,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:41:57",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813450454,Sistema,USD,0.00,-0.2,-0.2,,11.82,11.62,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:41:59",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813450679,Sistema,USD,0.00,-0.2,-0.2,,11.62,11.42,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:42:24",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813454219,Sistema,USD,0.00,-0.2,-0.2,,10.02,9.82,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:42:31",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813455212,Sistema,USD,0.00,-0.2,-0.2,,9.46,9.26,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:42:30",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813455035,Sistema,USD,0.00,-0.2,-0.2,,9.66,9.46,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:42:28",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813454843,Sistema,USD,0.00,-0.2,-0.2,,9.62,9.42,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:42:29",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813454978,Sistema,USD,0.00,-1.8,-1.8,,6.78,4.98,SportBooks,Withdraw,"Actividad de apuestas/juegos","Aviatrix Bet (2333)",Casino,"Aviatrix Bet",,
"2026-08-28 02:42:34",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813455629,Sistema,USD,2.25,0.00,2.25,,4.98,7.23,SportBooks,Deposit,"Actividad de apuestas/juegos","Aviatrix Win (2334)",Casino,"Aviatrix Win",,
"2026-08-28 02:43:40",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813464515,Sistema,USD,0.00,-0.2,-0.2,,7.5,7.3,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:43:44",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813465067,Sistema,USD,0.00,-0.2,-0.2,,7.3,7.1,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:43:53",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813466321,Sistema,USD,0.46,0.00,0.46,,6.9,7.36,SportBooks,Deposit,"Actividad de apuestas/juegos","Netgame Win (515)",Casino,"Netgame Win",,
"2026-08-28 02:44:00",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813467458,Sistema,USD,0.00,-0.2,-0.2,,7.16,6.96,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:09",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813468631,Sistema,USD,0.00,-0.2,-0.2,,6.18,5.98,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:05",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813468091,Sistema,USD,0.00,-0.2,-0.2,,6.56,6.36,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:07",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813468421,Sistema,USD,0.00,-0.2,-0.2,,6.38,6.18,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:15",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813469411,Sistema,USD,0.00,-0.2,-0.2,,5.8,5.6,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:17",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813469696,Sistema,USD,0.00,-0.2,-0.2,,5.6,5.4,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:24",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813470734,Sistema,USD,0.00,-0.2,-0.2,,5.4,5.2,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:27",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813471130,Sistema,USD,0.00,-0.2,-0.2,,5,4.8,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:44:58",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813475279,Sistema,USD,0.1,0.00,0.1,,2.6,2.7,SportBooks,Deposit,"Actividad de apuestas/juegos","Netgame Win (515)",Casino,"Netgame Win",,
"2026-08-28 02:45:11",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813477049,Sistema,USD,0.00,-0.2,-0.2,,2.3,2.1,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:46:44",geniusbet.sv,787533464,788398766,50363093963,"Player Online",115813489496,Sistema,USD,0.00,-0.2,-0.2,,0.23,0.03,SportBooks,Withdraw,"Actividad de apuestas/juegos","3Oaks Bet (1049)",Casino,"Joker Glitz x1000 Apuesta",,
"2026-08-28 02:30:38",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813366061,Sistema,USD,0.00,-0.2,-0.2,,21.23,21.03,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:30:39",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813366232,Sistema,USD,0.00,-0.2,-0.2,,21.03,20.83,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:37:29",geniusbet.sv,788361335,788480792,50372625831,"Player Retail",115813414487,Sistema,USD,0.00,-1.8,-1.8,,5.51,3.71,SportBooks,Withdraw,"Actividad de apuestas/juegos","Aviatrix Bet (2333)",Casino,"Aviatrix Bet",,
"2026-08-28 02:39:19",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813429610,Sistema,USD,0.00,-0.2,-0.2,,18.07,17.87,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
"2026-08-28 02:39:25",geniusbet.sv,787533464,788662016,50373809777,"Player Online",115813430387,Sistema,USD,0.00,-0.2,-0.2,,17.67,17.47,SportBooks,Withdraw,"Actividad de apuestas/juegos","Netgame Bet (514)",Casino,"Netgame Bet",,
